#TYPE System.Management.Automation.PSCustomObject
"id","deletedDateTime","accountEnabled","alternativeNames","appDisplayName","appDescription","appId","applicationTemplateId","appOwnerOrganizationId","appRoleAssignmentRequired","createdDateTime","description","disabledByMicrosoftStatus","displayName","homepage","loginUrl","logoutUrl","notes","notificationEmailAddresses","preferredSingleSignOnMode","preferredTokenSigningKeyThumbprint","replyUrls","servicePrincipalNames","servicePrincipalType","signInAudience","tags","tokenEncryptionKeyId","samlSingleSignOnSettings","verifiedPublisher","addIns","appRoles","info","keyCredentials","oauth2PermissionScopes","passwordCredentials","resourceSpecificApplicationPermissions"
"09cc23a5-a402-4bd5-880b-ce5701fdc486",,"True","System.Object[]","Microsoft Teams Web Client",,"e1829006-9cf1-4d05-8b48-2e665cb48e6a",,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","False","2018-11-02T10:22:51Z",,,"Microsoft Teams Web Client",,,,,"System.Object[]",,,"System.Object[]","System.Object[]","Application","AzureADMultipleOrgs","System.Object[]",,,"@{displayName=; verifiedPublisherId=; addedDateTime=}","System.Object[]","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"0a2906ab-b896-4025-ab12-0f7308e6fa4b",,"True","System.Object[]","SPAuthEvent",,"3340b944-b12e-47d0-b46b-35f08ec1d8ee",,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","False","2020-03-20T16:03:23Z",,,"SPAuthEvent",,,,,"System.Object[]",,,"System.Object[]","System.Object[]","Application","AzureADMultipleOrgs","System.Object[]",,,"@{displayName=; verifiedPublisherId=; addedDateTime=}","System.Object[]","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"0a587d4c-5ccf-4079-a07e-92437885fe3c",,"True","System.Object[]","IC3 Gateway",,"39aaf054-81a5-48c7-a4f8-0293012095b9",,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","False","2020-08-07T18:33:25Z",,,"IC3 Gateway",,,,,"System.Object[]",,,"System.Object[]","System.Object[]","Application","AzureADMultipleOrgs","System.Object[]",,,"@{displayName=; verifiedPublisherId=; addedDateTime=}","System.Object[]","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"0ac16d98-c67a-452c-af19-3536f1c5e219",,"True","System.Object[]","Mainatenance Sync",,"647a1571-1833-4ced-abe2-c65bf3bf1f91",,"a0ba2ab3-fde4-4259-856d-e450c46dc691","False","2020-01-20T08:40:44Z",,,"Mainatenance Sync",,,,,"System.Object[]",,,"System.Object[]","System.Object[]","Application","AzureADMyOrg","System.Object[]",,,"@{displayName=; verifiedPublisherId=; addedDateTime=}","System.Object[]","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"0b6ea357-80a3-4c4b-a0a7-64771f020b1e",,"True","System.Object[]","CMAT",,"64a7b174-5779-4506-b54c-fbb0d80f1c9b",,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","False","2019-07-17T06:50:55Z",,,"CMAT",,,,,"System.Object[]",,,"System.Object[]","System.Object[]","Application","AzureADMultipleOrgs","System.Object[]",,,"@{displayName=; verifiedPublisherId=; addedDateTime=}","System.Object[]","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"0bc91852-c432-4b31-a131-bc32dcd374d8",,"True","System.Object[]","Backup Management Service",,"262044b1-e2ce-469f-a196-69ab7ada62d3",,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","False","2020-07-26T17:12:03Z",,,"Backup Management Service",,,,,"System.Object[]",,,"System.Object[]","System.Object[]","Application","AzureADMultipleOrgs","System.Object[]",,,"@{displayName=; verifiedPublisherId=; addedDateTime=}","System.Object[]","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"0d2f079a-b7f9-49bc-9ab6-549c23425d81",,"True","System.Object[]","Storage Resource Provider",,"a6aa9161-5291-40bb-8c5c-923b567bee3b",,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","False","2020-07-26T17:12:03Z",,,"Storage Resource Provider",,,,,"System.Object[]",,,"System.Object[]","System.Object[]","Application","AzureADMultipleOrgs","System.Object[]",,,"@{displayName=; verifiedPublisherId=; addedDateTime=}","System.Object[]","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"0d9d7c93-65ab-4b3c-84f3-94a7474790f7",,"True","System.Object[]","Intune CMDeviceService",,"14452459-6fa6-4ec0-bc50-1528a1a06bf0",,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","False","2019-05-20T11:54:09Z",,,"Intune CMDeviceService",,,"https://manage.microsoft.com",,"System.Object[]",,,"System.Object[]","System.Object[]","Application","AzureADMultipleOrgs","System.Object[]",,,"@{displayName=; verifiedPublisherId=; addedDateTime=}","System.Object[]","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"0df8c097-ddb6-47f1-a433-466ceebb6377",,"True","System.Object[]","Azure SQL Database Backup To Azure Backup Vault",,"e4ab13ed-33cb-41b4-9140-6e264582cf85",,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","False","2020-07-26T17:12:03Z",,,"Azure SQL Database Backup To Azure Backup Vault",,,,,"System.Object[]",,,"System.Object[]","System.Object[]","Application","AzureADMultipleOrgs","System.Object[]",,,"@{displayName=; verifiedPublisherId=; addedDateTime=}","System.Object[]","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"0e1d1f94-13df-461e-a227-9b6ea93a2655",,"True","System.Object[]","Microsoft Cloud App Security",,"05a65629-4c1b-48c1-a78b-804c4abdd4af",,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","False","2021-03-04T06:43:28Z",,,"Microsoft Cloud App Security",,,,,"System.Object[]",,,"System.Object[]","System.Object[]","Application","AzureADMultipleOrgs","System.Object[]",,,"@{displayName=; verifiedPublisherId=; addedDateTime=}","System.Object[]","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
